timestamp;ECG
53,875;-786.432
54;-835.584
54,125;-835.584
54,25;-851.9680000000001
54,375;-851.9680000000001
54,5;-851.9680000000001
54,625;-819.2
54,75;-802.816
54,875;-835.584
55;-851.9680000000001
55,125;-851.9680000000001
55,25;-851.9680000000001
55,375;-802.816
55,5;-786.432
55,625;-753.664
55,75;-753.664
55,875;-884.7360000000001
56;-1032.192
56,125;-1032.192
56,25;-966.6560000000001
56,375;-802.816
56,5;-737.28
56,625;-802.816
56,75;-770.048
56,875;-819.2
57;-786.432
57,125;-819.2
57,25;-835.584
57,375;-819.2
57,5;-819.2
57,625;-802.816
57,75;-786.432
57,875;-819.2
58;-786.432
58,125;-819.2
58,25;-786.432
58,375;-835.584
58,5;-835.584
58,625;-819.2
58,75;-802.816
58,875;-786.432
59;-770.048
59,125;-835.584
59,25;-851.9680000000001
59,375;-851.9680000000001
59,5;-835.584
59,625;-786.432
59,75;-819.2
59,875;-819.2
60;-819.2
60,125;-835.584
60,25;-835.584
60,375;-868.352
60,5;-868.352
60,625;-835.584
60,75;-851.9680000000001
60,875;-819.2
61;-851.9680000000001
61,125;-851.9680000000001
61,25;-868.352
61,375;-884.7360000000001
61,5;-868.352
61,625;-802.816
61,75;-819.2
61,875;-835.584
62;-868.352
62,125;-901.12
62,25;-901.12
62,375;-868.352
62,5;-819.2
62,625;-802.816
62,75;-835.584
62,875;-835.584
63;-851.9680000000001
63,125;-819.2
63,25;-851.9680000000001
63,375;-835.584
63,5;-851.9680000000001
63,625;-851.9680000000001
63,75;-851.9680000000001
63,875;-835.584
64;-851.9680000000001
64,125;-868.352
64,25;-868.352
64,375;-835.584
64,5;-851.9680000000001
64,625;-851.9680000000001
64,75;-901.12
64,875;-851.9680000000001
65;-802.816
65,125;-819.2
65,25;-835.584
65,375;-819.2
65,5;-917.5039999999999
65,625;-999.424
65,75;-1064.96
65,875;-983.04
66;-802.816
66,125;-737.28
66,25;-802.816
66,375;-851.9680000000001
66,5;-851.9680000000001
66,625;-802.816
66,75;-819.2
66,875;-851.9680000000001
67;-851.9680000000001
67,125;-835.584
67,25;-819.2
67,375;-851.9680000000001
67,5;-851.9680000000001
67,625;-851.9680000000001
67,75;-802.816
67,875;-819.2
68;-835.584
68,125;-851.9680000000001
68,25;-851.9680000000001
68,375;-851.9680000000001
68,5;-786.432
68,625;-819.2
68,75;-819.2
68,875;-851.9680000000001
69;-835.584
69,125;-835.584
69,25;-851.9680000000001
69,375;-851.9680000000001
69,5;-901.12
69,625;-901.12
69,75;-884.7360000000001
69,875;-884.7360000000001
70;-835.584
70,125;-851.9680000000001
70,25;-868.352
70,375;-868.352
70,5;-868.352
70,625;-835.584
70,75;-851.9680000000001
70,875;-868.352
71;-868.352
71,125;-868.352
71,25;-851.9680000000001
71,375;-868.352
71,5;-901.12
71,625;-901.12
71,75;-933.888
71,875;-901.12
72;-901.12
72,125;-901.12
72,25;-884.7360000000001
72,375;-884.7360000000001
