,EEG
974,-851.968
975,-868.352
976,-851.968
977,-868.352
978,-851.968
979,-851.968
980,-851.968
981,-868.352
982,-851.968
983,-868.352
984,-868.352
985,-884.736
986,-901.12
987,-884.736
988,-884.736
989,-851.968
990,-851.968
991,-851.968
992,-851.968
993,-868.352
994,-868.352
995,-868.352
996,-868.352
997,-851.968
998,-868.352
999,-851.968
1000,-835.584
1001,-868.352
1002,-884.736
1003,-868.352
1004,-851.968
1005,-819.2
1006,-835.584
1007,-835.584
1008,-851.968
1009,-851.968
1010,-835.584
1011,-819.2
1012,-835.584
1013,-819.2
1014,-851.968
1015,-851.968
1016,-851.968
1017,-819.2
1018,-819.2
1019,-819.2
1020,-868.352
1021,-868.352
1022,-851.968
1023,-835.584
1024,-835.584
1025,-851.968
1026,-851.968
1027,-835.584
1028,-835.584
1029,-819.2
1030,-835.584
1031,-851.968
1032,-819.2
1033,-835.584
1034,-851.968
1035,-835.584
1036,-835.584
1037,-802.816
1038,-835.584
1039,-819.2
1040,-851.968
1041,-835.584
1042,-819.2
1043,-868.352
1044,-868.352
1045,-851.968
1046,-851.968
1047,-819.2
1048,-851.968
1049,-819.2
1050,-835.584
1051,-851.968
1052,-851.968
1053,-819.2
1054,-786.432
1055,-770.048
1056,-835.584
1057,-983.04
1058,-1064.96
1059,-1015.808
1060,-835.584
1061,-753.664
1062,-720.896
1063,-770.048
1064,-786.432
1065,-786.432
1066,-786.432
1067,-802.816
1068,-802.816
1069,-819.2
1070,-786.432
1071,-786.432
1072,-786.432
1073,-786.432
1074,-819.2
1075,-819.2
1076,-819.2
1077,-819.2
1078,-786.432
1079,-819.2
1080,-770.048
1081,-786.432
1082,-770.048
1083,-753.664
1084,-802.816
1085,-802.816
1086,-770.048
1087,-802.816
1088,-770.048
1089,-802.816
1090,-819.2
1091,-835.584
1092,-851.968
1093,-835.584
1094,-835.584
1095,-835.584
1096,-835.584
1097,-851.968
1098,-835.584
1099,-851.968
1100,-835.584
1101,-786.432
1102,-802.816
1103,-802.816
1104,-802.816
1105,-819.2
1106,-802.816
1107,-819.2
1108,-819.2
1109,-819.2
1110,-802.816
1111,-786.432
1112,-786.432
1113,-835.584
1114,-835.584
1115,-835.584
1116,-786.432
1117,-819.2
1118,-819.2
1119,-786.432
1120,-802.816
1121,-802.816
1122,-819.2
1123,-835.584
1124,-802.816
1125,-802.816
1126,-786.432
1127,-802.816
1128,-819.2
1129,-786.432
1130,-802.816
1131,-802.816
1132,-802.816
1133,-835.584
1134,-802.816
1135,-835.584
1136,-802.816
1137,-786.432
1138,-802.816
1139,-819.2
1140,-835.584
1141,-851.968
1142,-786.432
1143,-819.2
1144,-786.432
1145,-770.048
1146,-786.432
1147,-770.048
1148,-786.432
1149,-802.816
1150,-786.432
1151,-835.584
1152,-802.816
